"","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","ATSm1","ATSm2","ATSm5","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","fragC","HybRatio","Kier2","khs.aasC","khs.aaaC","khs.aaN","khs.ssO","khs.sF","khs.sCl","MDEC.11","MDEC.12","MDEC.13","MDEC.14","MDEC.22","MDEC.23","MDEC.24","MDEC.33","MDEO.11","topoShape","TopoPSA","WTPT.2","WTPT.4","WTPT.5","naAromAtom","nBase","nAtomLC","nAtomP","nAtomLAC","MLogP","nRotB","apol","nHBAcc"
"66",0.352078147345439,-0.258075645633883,0.147172275409965,-0.0848875689123867,0.0328209881530138,29.5128514142312,25.8073883393386,33.1082160307616,1,8,0,3,1,0,104.06,0.230769230769231,6.40582726326743,4,0,1,0,0,1,0.142857142857143,2.16601164455798,2.91370256940414,0,4.19013345186868,10.7658783839326,0,4.53555540418837,0,1,40.09,2.04763683570496,0,16.0076744581469,12,0,2,16,2,2.34,3,32.32,4
"68",0.291569735766691,-0.263080983527314,0.227251803880564,-0.152882928954464,0.0413514930558656,22.4399212051059,25.495637398624,29.215598001177,3,9,2,1,1,0,156.04,0.0625,6.24567474048443,4,2,2,0,0,0,0,1.61735533301987,1.62648911150681,0,11.7153928357624,17.485847468458,0,4.57611158911642,0,1,27.73,2.09755429300363,0,12.8260678583556,19,0,0,20,0,2.89,2,34.32,3
"70",0.551282488496286,-0.399651769160551,0.19219920326786,-0.0592665291015323,0.0133286300446962,30.3060339235104,30.600973034476,39.3710364030497,2,7,1,2,2,1,177.08,0.333333333333333,6.622248661511,2,0,0,0,3,0,0,1.2498320593095,1.85735383297475,0.111111111111111,4.96952376661085,13.4590611025404,1.60140084272193,5.77922498668425,0,1,40.09,2.03698436739245,0,16.0757522401769,6,5,3,16,0,2.34,4,35.331,4
"72",0.35163040081965,-0.258762575194287,0.149643412203037,-0.0866999150897653,0.0333785831456852,30.5128514142312,26.8073883393386,35.2743979639421,1,8,0,4,0,1,109.06,0.285714285714286,6.62993572084481,4,0,1,0,0,1,0.650697636830499,2.14081953798181,5.43075819971048,0,3.92513638958328,9.60168843744711,0,6.11565394705749,0,1,40.09,2.0376531821066,0,16.0335748574709,12,0,2,16,0,2.45,3,34.08,4
"73",0.587955990188179,-0.429636976763761,0.205437357747866,-0.0612273178817228,0.00931068351393297,30.3060339235104,29.600973034476,39.3710364030497,1,7,1,5,0,1,124.08,0.333333333333333,7.31886916502301,4,0,1,0,3,0,0.650697636830499,2.19051982569318,5.34245766107466,0.291594029999621,3.83851949637378,9.99678720498978,1.65458809876621,5.77922498668425,0,1,40.09,2.01757206422896,0,16.0473748160197,12,0,3,16,0,2.34,4,35.331,4
"75",0.445563777819175,-0.325394359164933,0.184017381055738,-0.0714843358533049,0.00256200114577085,41.4378752400457,47.6405353421137,47.3679620537033,2,8,0,3,0,1,134.11,0.266666666666667,6.25,2,0,0,0,5,0,0.650697636830499,2.19051982569318,5.34245766107466,0,3.83851949637378,9.99678720498978,0,5.77922498668425,0,1,37.08,1.99487788622814,0,16.0469509716121,6,7,5,16,0,1.9,4,37.585,4
"78",0.588403736713968,-0.428950047203377,0.20296622095198,-0.0594149719479313,0.0087530753287,29.3060339235104,28.600973034476,37.2048544698692,1,7,1,4,1,0,119.08,0.285714285714286,7.08692476260044,4,0,1,0,3,0,0.142857142857143,2.20956393957924,2.85627113162865,0.201007563051842,4.16080493330087,11.1233097999357,1.62648911150681,4.22316474219039,0,1,40.09,2.02538008322867,0,16.0214744166957,12,0,3,16,2,2.23,4,33.571,4
"81",0.644287783248659,-0.383852082364248,0.0409117830698259,0.0509110637056869,-0.043536109365642,46.441963518131,50.804105565164,54.3870126484029,2,8,0,2,2,0,144.13,0.266666666666667,6.75,2,0,0,0,7,0,0.125,2.07489969301078,2.58577025606882,0.577350269189626,3.97508125039071,10.6262363181611,1.19929744188198,4.22316474219039,0,0.857142857142857,37.08,1.98686774819804,0,16.087481845778,6,7,5,16,3,1.68,5,38.699,4
"82",0.595655866046651,-0.489080965854105,0.322226430998388,-0.138595229386699,0.0263898667923123,42.2123442755866,48.3047192963789,48.2535156279024,1,8,0,3,0,0,134.12,0.214285714285714,6.51878678134903,2,0,0,1,5,0,0.125,2.07489969301078,2.58577025606882,0,3.97508125039071,10.6262363181611,0,4.22316474219039,0,0.857142857142857,46.31,2.00163372081967,2.94668696189819,16.0937155121053,6,7,5,17,2,1.68,5,36.627,5
"85",0.55691424609366,-0.300156486051129,-0.0286486411822073,0.0458814967649922,-0.0080707247117349,34.5169396923165,28.9709585623889,39.9610846922808,1,8,0,3,1,0,114.08,0.230769230769231,6.48148148148148,4,0,1,0,2,1,0.142857142857143,1.53317092344875,2.91370256940414,0.816496580927726,3.92513638958328,9.19032141150516,0.70740852332486,4.53555540418837,0,1,40.09,2.02554232435564,0,16.0377732617282,12,0,3,16,0,2.12,3,33.434,4
"86",0.343723921202945,-0.279144331724505,0.169463930474,-0.0736823780179522,0.00946082554999308,22.7999015063824,25.8556176999005,29.5479618675379,1,10,2,1,0,0,156.05,0.0666666666666667,6.24567474048443,3,2,1,0,0,0,0,1.42167649131678,1.62648911150681,0,9.99048618810721,15.883312539328,0,4.57611158911642,0,1,40.09,2.09755429300363,0,15.9171381798,16,0,0,20,0,2.67,2,33.66,4
"88",0.556283252367349,-0.301345577899861,-0.0266165803503468,0.059478552262363,-0.049494022307508,34.5169396923165,28.9709585623889,36.5187831016756,1,8,0,3,1,0,114.08,0.230769230769231,6.48148148148148,4,0,1,0,2,1,0.142857142857143,1.57023812613317,2.85627113162865,0.816496580927726,3.83851949637378,9.5952713419161,0.724270493657729,4.22316474219039,0,0.833333333333333,40.09,2.02556583707543,0,16.0389863389913,12,0,3,16,0,2.12,3,33.434,4
"89",0.751090348349763,-0.456687379300625,0.0459409642713746,0.0621741900759674,-0.0301734421915701,34.3101222015957,31.7645432575263,44.0577231313884,2,7,1,3,1,0,129.1,0.285714285714286,7.19727891156463,2,0,0,0,5,0,0.142857142857143,1.57023812613317,2.85627113162865,0.810239441085025,3.83851949637378,9.5952713419161,2.18940114103707,4.22316474219039,0,1,40.09,2.00771780286348,0,16.051573220277,6,7,3,16,0,2.01,4,34.685,4
"91",0.908785146400558,-0.548202232325858,-0.0117795331693414,0.137772059722143,-0.0539848038146081,35.8121663406383,32.3463283690514,45.3179755289676,1,7,1,4,0,0,129.11,0.230769230769231,7.19727891156463,4,0,1,0,6,0,0,0.976032522401787,1.72030651024652,0.272165526975909,3.83851949637378,9.5952713419161,2.18940114103707,4.22316474219039,0,1,40.09,2.00771780286348,0,16.051573220277,12,0,3,16,0,1.79,4,33.482,4
"93",0.645371637672718,-0.382362158490081,0.0376913316545712,0.0499564056845521,-0.0409392617227215,45.441963518131,49.8041055651641,52.054648782042,2,8,0,2,1,0,139.13,0.214285714285714,6.2475970780469,2,0,0,0,7,0,0.142857142857143,1.57023812613317,2.85627113162865,0.816496580927726,3.83851949637378,9.5952713419161,0.724270493657729,4.22316474219039,0,1,37.08,1.98659409387404,0,16.0511493758694,6,7,5,16,0,1.57,4,36.939,4
"95",0.761627235365283,-0.46934236833982,0.0136607154940736,0.112615691091729,-0.0645413614791119,46.9440076571736,50.3858906766892,53.3149011796212,2,8,0,2,0,0,139.14,0.153846153846154,6.2475970780469,2,0,0,0,8,0,0,0.976032522401787,1.72030651024652,0.166666666666667,3.83851949637378,9.5952713419161,0.724270493657729,4.22316474219039,0,1,37.08,1.98659409387404,0,16.0511493758694,6,7,5,16,0,1.35,4,35.736,4
"99",0.750006493925704,-0.458177303174792,0.0491614156866295,0.0631288480971429,-0.0327702898289579,35.3101222015957,32.7645432575263,46.3900869977493,2,7,1,3,2,0,134.1,0.333333333333333,7.78799351000541,2,0,0,0,5,0,0.125,2.07489969301078,2.58577025606882,0.666666666666667,3.97508125039071,10.6262363181611,2.77121128587587,4.22316474219039,0,0.857142857142857,40.09,2.0072000696308,0,16.0879056901856,6,5,5,16,3,2.12,5,36.445,4
